filename,timestamp,file_size_bytes
pageviews-20250118-120000.gz,18-Jan-2025 13:01,57844118
pageviews-20250118-130000.gz,18-Jan-2025 14:00,60321761
pageviews-20250118-140000.gz,18-Jan-2025 15:01,62534165
pageviews-20250118-150000.gz,18-Jan-2025 16:11,64003109
pageviews-20250118-160000.gz,18-Jan-2025 17:10,64909246
pageviews-20250118-170000.gz,18-Jan-2025 18:00,65135566
pageviews-20250118-180000.gz,18-Jan-2025 19:00,65756373
pageviews-20250118-190000.gz,18-Jan-2025 20:01,66146174
pageviews-20250118-200000.gz,18-Jan-2025 21:02,64934623
pageviews-20250118-210000.gz,18-Jan-2025 22:01,63460012
pageviews-20250118-220000.gz,18-Jan-2025 23:00,61890542
pageviews-20250118-230000.gz,19-Jan-2025 00:01,57971930
pageviews-20250119-000000.gz,19-Jan-2025 01:01,52652680
pageviews-20250119-010000.gz,19-Jan-2025 02:00,48239069
